id;user_id;recipe_id
1;2;1
2;3;1
3;2;11
4;4;15
5;5;23
6;6;37
7;7;45
8;8;52
9;9;12
10;10;67
11;11;28
12;2;76
13;3;3
14;4;41
15;5;17
16;6;89
17;7;6
18;8;81
19;9;54
20;10;63
21;11;34
22;2;70
23;3;9
24;4;30
25;5;56
26;6;48
27;7;25
28;8;39
29;9;18
30;10;80
31;11;5
32;2;73
33;3;19
34;4;42
35;5;10
36;6;27
37;7;22
38;8;49
39;9;35
40;10;60
41;11;29
42;2;55
43;3;36
44;4;50
45;5;72
46;6;88
47;7;8
48;8;66
49;9;33
50;10;44
51;11;16
52;2;83
53;3;24
54;4;13
55;5;38
56;6;53
57;7;47
58;8;2
59;9;62
60;10;79
61;11;4
62;2;14
63;3;32
64;4;58
65;5;46
66;6;77
67;7;21
68;8;43
69;9;31
70;10;68
71;11;26
72;2;59
73;3;7
74;4;71
75;5;65
76;6;85
77;7;20
78;8;40
79;9;74
80;10;69
81;11;53
82;2;64
83;3;78
84;4;57
85;5;14
86;6;35
87;7;90
88;8;51
89;9;13
90;10;87
91;11;75
92;2;41
93;3;63
94;4;84
95;5;19
96;6;42
97;7;30
98;8;55
99;9;82
100;10;12

101;2;23
102;3;44
103;4;11
104;5;82
105;6;36
106;7;13
107;8;67
108;9;61
109;10;3
110;11;54
111;2;17
112;3;53
113;4;64
114;5;75
115;6;68
116;7;5
117;8;72
118;9;10
119;10;48
120;11;8
121;2;24
122;3;37
123;4;39
124;5;83
125;6;33
126;7;49
127;8;41
128;9;26
129;10;16
130;11;62
131;2;25
132;3;46
133;4;60
134;5;7
135;6;59
136;7;4
137;8;18
138;9;21
139;10;55
140;11;50
141;2;29
142;3;51
143;4;78
144;5;14
145;6;28
146;7;34
147;8;27
148;9;20
149;10;65
150;11;38
151;2;31
152;3;2
153;4;8
154;5;57
155;6;56
156;7;66
157;8;73
158;9;12
159;10;47
160;11;35
161;2;32
162;3;15
163;4;43
164;5;52
165;6;70
166;7;9
167;8;74
168;9;40
169;10;58
170;11;69
171;2;50
172;3;77
173;4;12
174;5;71
175;6;18
176;7;38
177;8;53
178;9;63
179;10;60
180;11;29
181;2;8
182;3;74
183;4;65
184;5;30
185;6;22
186;7;16
187;8;81
188;9;45
189;10;32
190;11;23
191;2;40
192;3;67
193;4;21
194;5;79
195;6;49
196;7;68
197;8;39
198;9;77
199;10;20
200;11;56
201;2;5
202;3;20
203;4;54
204;5;11
205;6;67
206;7;62
207;8;6
208;9;33
209;10;51
210;11;9
211;2;59
212;3;28
213;4;74
214;5;31
215;6;42
216;7;26
217;8;80
218;9;47
219;10;18
220;11;37
221;2;12
222;3;14
223;4;51
224;5;66
225;6;30
226;7;35
227;8;48
228;9;41
229;10;13
230;11;16
231;2;82
232;3;27
233;4;19
234;5;8
235;6;25
236;7;3
237;8;16
238;9;44
239;10;24
240;11;74
241;2;70
242;3;58
243;4;85
244;5;9
245;6;18
246;7;50
247;8;30
248;9;54
249;10;37
250;11;75
251;2;47
252;3;81
253;4;2
254;5;37
255;6;26
256;7;36
257;8;56
258;9;8
259;10;49
260;11;19
261;2;68
262;3;80
263;4;22
264;5;41
265;6;44
266;7;52
267;8;33
268;9;70
269;10;60
270;11;67
271;2;43
272;3;72
273;4;38
274;5;75
275;6;64
276;7;20
277;8;71
278;9;18
279;10;28
280;11;42
281;2;59
282;3;16
283;4;49
284;5;3
285;6;51
286;7;27
287;8;73
288;9;12
289;10;78
290;11;29
291;2;21
292;3;14
293;4;54
294;5;5
295;6;13
296;7;29
297;8;43
298;9;45
299;10;80
300;11;55
301;2;74
302;3;9
303;4;17
304;5;6
305;6;65
306;7;31
307;8;83
308;9;39
309;10;23
310;11;72
311;2;34
312;3;61
313;4;50
314;5;70
315;6;27
316;7;41
317;8;26
318;9;79
319;10;61
320;11;3
321;2;8
322;3;69
323;4;55
324;5;63
325;6;36
326;7;59
327;8;32
328;9;66
329;10;14
330;11;50
331;2;39
332;3;28
333;4;58
334;5;13
335;6;46
336;7;74
337;8;22
338;9;19
339;10;66
340;11;38
341;2;85
342;3;60
343;4;40
344;5;20
345;6;64
346;7;12
347;8;57
348;9;23
349;10;21
350;11;41
351;2;17
352;3;35
353;4;44
354;5;62
355;6;79
356;7;50
357;8;3
358;9;67
359;10;59
360;11;77
361;2;32
362;3;82
363;4;75
364;5;21
365;6;31
366;7;78
367;8;29
368;9;14
369;10;49
370;11;47
371;2;66
372;3;11
373;4;10
374;5;56
375;6;24
376;7;79
377;8;37
378;9;4
379;10;72
380;11;53
381;2;48
382;3;38
383;4;34
384;5;28
385;6;62
386;7;57
387;8;81
388;9;62
389;10;1
390;11;43
391;2;19
392;3;75
393;4;8
394;5;14
395;6;73
396;7;67
397;8;50
398;9;11
399;10;69
400;11;18
401;2;43
402;3;66
403;4;72
404;5;36
405;6;27
406;7;51
407;8;79
408;9;20
409;10;57
410;11;63
411;2;17
412;3;59
413;4;25
414;5;49
415;6;11
416;7;45
417;8;4
418;9;28
419;10;71
420;11;32
421;2;24
422;3;53
423;4;50
424;5;67
425;6;33
426;7;34
427;8;61
428;9;42
429;10;12
430;11;40
431;2;58
432;3;46
433;4;69
434;5;78
435;6;73
436;7;29
437;8;15
438;9;56
439;10;16
440;11;71
441;2;19
442;3;44
443;4;26
444;5;60
445;6;9
446;7;81
447;8;30
448;9;14
449;10;31
450;11;20
451;2;50
452;3;76
453;4;70
454;5;42
455;6;54
456;7;7
457;8;10
458;9;5
459;10;68
460;11;23
461;2;72
462;3;62
463;4;37
464;5;73
465;6;18
466;7;57
467;8;28
468;9;9
469;10;47
470;11;68
471;2;39
472;3;22
473;4;55
474;5;32
475;6;41
476;7;18
477;8;74
478;9;50
479;10;38
480;11;27
481;2;35
482;3;5
483;4;48
484;5;13
485;6;12
486;7;63
487;8;8
488;9;78
489;10;75
490;11;80
491;2;57
492;3;8
493;4;59
494;5;24
495;6;65
496;7;23
497;8;46
498;9;36
499;10;55
500;11;41
501;2;15
502;3;29
503;4;66
504;5;40
505;6;43
506;7;44
507;8;52
508;9;58
509;10;32
510;11;19
511;2;61
512;3;48
513;4;64
514;5;11
515;6;37
516;7;33
517;8;72
518;9;16
519;10;56
520;11;77
521;2;34
522;3;20
523;4;31
524;5;74
525;6;71
526;7;73
527;8;60
528;9;30
529;10;50
530;11;14
531;2;25
532;3;49
533;4;41
534;5;8
535;6;76
536;7;11
537;8;44
538;9;59
539;10;19
540;11;17
541;2;78
542;3;13
543;4;39
544;5;27
545;6;34
546;7;35
547;8;51
548;9;64
549;10;3
550;11;69
551;2;42
552;3;17
553;4;22
554;5;70
555;6;14
556;7;61
557;8;32
558;9;49
559;10;18
560;11;25
561;2;4
562;3;55
563;4;74
564;5;16
565;6;24
566;7;56
567;8;27
568;9;37
569;10;77
570;11;12
571;2;13
572;3;38
573;4;32
574;5;21
575;6;62
576;7;29
577;8;66
578;9;48
579;10;61
580;11;62
