id;title;required_time;description;recipe_id
1;Cut and Coat Chicken;10;Prepare the chicken by cutting it into bite-sized pieces and coating with cornstarch.;1
2;Fry Chicken;5;Heat vegetable oil in a pan and fry the coated chicken until crispy.;1
3;Stir-Fry Vegetables;10;In another pan, stir-fry bell peppers and pineapple chunks.;1
4;Prepare Sweet and Sour Sauce;5;Add soy sauce, vinegar, sugar, and cook until the sauce thickens.;1
5;Combine Chicken with Sauce;15;Mix the fried chicken with the sauce and serve hot.;1

6;Cook Spaghetti;10;Boil spaghetti in salted water until al dente.;2
7;Fry Pancetta;5;Fry pancetta in a pan until crispy.;2
8;Prepare Carbonara Sauce;5;Whisk egg yolks with grated Parmesan cheese and black pepper.;2
9;Combine Spaghetti and Sauce;5;Mix the spaghetti with the pancetta and egg mixture. Serve immediately.;2

10;Brown Beef;10;Brown the beef in a large pot.;3
11;Cook Vegetables;10;Add onions, garlic, and carrots. Cook until soft.;3
12;Add Potatoes and Paprika;10;Add potatoes, paprika, and vegetable broth. Simmer until the beef is tender.;3
13;Simmer Goulash;60;Let the goulash simmer for an hour until all ingredients are well combined.;3

14;Cook Chicken with Spices;10;Cook chicken with cumin and chili powder.;4
15;Warm Tortillas;5;Warm tortillas in a pan or oven.;4
16;Assemble Tacos;5;Assemble the tacos with cooked chicken, salsa, lettuce, cheese, and sour cream.;4

17;Marinate Chicken;10;Marinate the chicken with garam masala, cumin, and chili powder.;5
18;Cook Garlic and Ginger in Butter;10;Cook garlic and ginger in butter until fragrant.;5
19;Prepare Butter Chicken Sauce;20;Add tomato puree and simmer. Stir in cream and cooked chicken.;5
20;Simmer Butter Chicken;20;Let the butter chicken simmer until the sauce thickens and flavors are well combined.;5

21;Prepare Sushi Rice;15;Cook sushi rice according to package instructions.;6
22;Slice Fish and Vegetables;10;Slice fish and vegetables into thin strips for filling.;6
23;Roll Sushi;15;Place nori on a bamboo mat, add rice and fillings, and roll tightly.;6
24;Cut Sushi Rolls;5;Slice the rolled sushi into bite-sized pieces.;6

25;Prepare Noodles;10;Soak rice noodles in warm water until soft.;7
26;Fry Shrimp and Tofu;5;Stir-fry shrimp and tofu in a hot pan.;7
27;Make Pad Thai Sauce;5;Mix tamarind paste with water, sugar, and fish sauce.;7
28;Combine Noodles and Ingredients;5;Add noodles, shrimp, tofu, and peanuts to the pan. Stir-fry and serve.;7

29;Prepare Wonton Filling;10;Mix minced pork and shrimp with seasonings.;8
30;Fill Wontons;5;Place filling in wonton wrappers and seal.;8
31;Cook Wontons;10;Boil wontons in a savory broth until cooked.;8
32;Serve Wonton Soup;5;Serve wontons in broth garnished with green onions.;8

33;Prepare Tiramisu;10;Soak ladyfingers in coffee.;9
34;Layer Tiramisu;20;Layer soaked ladyfingers with mascarpone cream.;9
35;Chill Tiramisu;30;Refrigerate for a few hours and dust with cocoa before serving.;9

36;Prepare Mushroom Soup;10;Sauté mushrooms in butter until soft.;10
37;Add Broth and Seasonings;10;Add broth and paprika to the mushrooms and simmer.;10
38;Finish with Sour Cream;5;Stir in sour cream before serving.;10

39;Fill Enchiladas;10;Fill tortillas with chicken and cheese.;11
40;Prepare Green Sauce;10;Blend tomatillos with garlic and cilantro.;11
41;Bake Enchiladas;15;Pour sauce over filled tortillas and bake.;11

42;Cook Spinach;5;Sauté spinach until wilted.;12
43;Prepare Paneer;5;Cube paneer and add to spinach.;12
44;Make Sauce;10;Blend spinach and paneer with cream.;12
45;Serve Palak Paneer;5;Serve hot with naan.;12

46;Prepare Miso Soup;10;Dissolve miso paste in warm water.;13
47;Add Tofu and Seaweed;5;Add cubed tofu and seaweed to the soup.;13
48;Serve Miso Soup;5;Garnish with green onions and serve.;13

49;Prepare Green Curry;10;Cook green chilies in coconut milk.;14
50;Add Vegetables or Meat;15;Add your choice of vegetables or meat and simmer.;14
51;Serve Green Curry;5;Serve hot with rice.;14

52;Prepare Kung Pao Sauce;5;Mix soy sauce with peanuts and spices.;15
53;Cook Chicken;10;Stir-fry chicken in a hot pan.;15
54;Add Peanuts;5;Add peanuts and sauce to the chicken and stir-fry.;15
55;Serve Kung Pao Chicken;5;Serve hot over rice.;15

56;Prepare Risotto;5;Sauté rice in butter.;16
57;Add Broth Gradually;20;Slowly add broth to rice, stirring continuously.;16
