id;recipe_book_id;recipe_id
1;1;1
2;1;3
3;1;10
4;1;15
5;1;9
6;2;6
7;2;18
8;2;7
9;2;5
10;2;23
11;3;5
12;3;20
13;3;8
14;3;25
15;3;1
16;4;16
17;4;25
18;4;13
19;4;5
20;4;22
21;5;21
22;5;22
23;5;4
24;5;19
25;5;18
26;6;3
27;6;26
28;6;19
29;6;24
30;6;8
31;7;11
32;7;23
33;7;14
34;7;2
35;7;20
36;8;24
37;8;17
38;8;1
39;8;10
40;8;13
41;9;2
42;9;10
43;9;6
44;9;15
45;9;23
46;10;5
47;10;1
48;10;8
49;10;12
50;10;4
51;11;9
52;11;2
53;11;20
54;11;13
55;11;17
56;12;3
57;12;17
58;12;12
59;12;15
60;12;6
61;13;7
62;13;18
63;13;19
64;13;4
65;13;22
66;14;24
67;14;1
68;14;21
69;14;16
70;14;19
71;15;11
72;15;2
73;15;6
74;15;9
75;15;20
76;16;25
77;16;16
78;16;12
79;16;5
80;16;13
81;17;10
82;17;5
83;17;22
84;17;13
85;17;24
86;18;15
87;18;8
88;18;23
89;18;17
90;18;2
91;19;3
92;19;18
93;19;13
94;19;9
95;19;16
96;20;6
97;20;24
98;20;9
99;20;8
100;20;2
101;21;14
102;21;4
103;21;21
104;21;3
105;21;18
106;22;7
107;22;3
108;22;16
109;22;1
110;22;20
111;23;10
112;23;19
113;23;13
114;23;4
115;23;8
116;24;5
117;24;2
118;24;12
119;24;14
120;24;7
121;25;8
122;25;17
123;25;6
124;25;22
125;25;18
126;26;15
127;26;9
128;26;14
129;26;3
130;26;7

131;1;7
132;1;2
133;1;18
134;1;21
135;1;13
136;2;12
137;2;16
138;2;22
139;2;4
140;2;19
141;3;11
142;3;9
143;3;6
144;3;17
145;3;14
146;4;9
147;4;8
148;4;11
149;4;3
150;4;19
151;5;3
152;5;7
153;5;10
154;5;15
155;5;23
156;6;5
157;6;1
158;6;7
159;6;14
160;6;21
161;7;9
162;7;16
163;7;18
164;7;3
165;7;8
166;8;9
167;8;22
168;8;12
169;8;21
170;8;16
171;9;1
172;9;4
173;9;17
174;9;20
175;9;23
176;10;6
177;10;19
178;10;7
179;10;15
180;10;23
