id;name;amount;unit;instruction_id
1;Chicken;500;GRAM;1
2;Cornstarch;50;GRAM;2
3;Vegetable oil;100;MILLILITRES;2
4;Sugar;30;GRAM;3
5;Vinegar;50;MILLILITRES;3
6;Soy sauce;30;MILLILITRES;3
7;Sesame seeds;10;GRAM;5
8;Spaghetti;400;GRAM;6
9;Pancetta;200;GRAM;7
10;Eggs;2;PIECE;8
11;Parmesan;100;GRAM;8
12;Beef;500;GRAM;10
13;Paprika;20;GRAM;11
14;Onion;100;GRAM;11
15;Garlic;10;GRAM;11
16;Potatoes;300;GRAM;12
17;Carrots;100;GRAM;12
18;Broth;500;MILLILITRES;12
19;Sour cream;50;GRAM;13
20;Chicken;300;GRAM;14
21;Tortillas;4;PIECE;15
22;Vegetables;200;GRAM;15
23;Salsa;50;MILLILITRES;16
24;Yogurt;100;MILLILITRES;17
25;Garlic paste;20;GRAM;17
26;Tomato sauce;200;MILLILITRES;19
27;Cream;100;MILLILITRES;19
28;Rice;200;GRAM;21
29;Nori;5;PIECE;22
30;Fish;150;GRAM;23
31;Avocado;50;GRAM;23
32;Rice noodles;250;GRAM;25
33;Shrimp;150;GRAM;26
34;Tofu;100;GRAM;26
35;Tamarind paste;30;GRAM;27
36;Peanuts;30;GRAM;27
37;Wonton wrappers;20;PIECE;29
38;Pork;200;GRAM;29
39;Shrimp;100;GRAM;29
40;Ginger;10;GRAM;31
41;Soy sauce;30;MILLILITRES;31
42;Mushrooms;200;GRAM;36
43;Paprika;10;GRAM;36
44;Sour cream;50;MILLILITRES;38
45;Tomatillos;200;GRAM;40
46;Cheese;100;GRAM;41
47;Paneer;200;GRAM;43
48;Spinach;300;GRAM;42
49;Garlic;10;GRAM;42
50;Miso paste;50;GRAM;46
51;Tofu;100;GRAM;47
52;Seaweed;10;GRAM;47
53;Green curry paste;30;GRAM;49
54;Coconut milk;400;MILLILITRES;49
55;Chicken;200;GRAM;52
56;Peanuts;50;GRAM;52
57;Dried chilies;10;GRAM;52
58;Spring onions;20;GRAM;55
59;Rice;200;GRAM;50
60;Butter;50;GRAM;56
61;Broth;500;MILLILITRES;57
62;Parmesan;100;GRAM;58
63;Rice;250;GRAM;56
64;Flour;300;GRAM;65
65;Yogurt;100;MILLILITRES;65
66;Garlic;10;GRAM;66
67;Butter;20;GRAM;67
68;Shrimp;150;GRAM;69
69;Lemongrass;30;GRAM;68
70;Lime;10;GRAM;68
71;Fresh herbs;10;GRAM;70

72;Pak choi;1;PIECE;73
73;Onion;1;PIECE;71
74;Garlic;6;PIECE;71
75;Ginger paste;5;GRAM;72
76;French beans;50;GRAM;71
77;Bell pepper;25;GRAM;72
78;Bean sprouts;200;GRAM;75
79;Snow peas;100;GRAM;73
80;Vegetable stock;750;MILLILITRES;74
81;Noodles;50;GRAM;74
82;Oil;5;MILLILITRES;72
83;Sesame oil;5;MILLILITRES;75
84;Soy sauce;15;MILLILITRES;74
85;Rice vinegar;5;MILLILITRES;74
86;Salt;1;GRAM;74
87;Five spice powder;1;GRAM;74
88;Chilli sauce;5;MILLILITRES;74
89;Tofu;100;GRAM;75
90;Sesame seeds;2;GRAM;75

91;Kent pumpkin;1000;GRAM;76
92;Beetroot;600;GRAM;77
93;Extra virgin olive oil;30;MILLILITRES;76
94;Baby spinach;250;GRAM;80
