GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,RecipeDTO,19,163,0,6,7,64,6,34,6,31
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,RatingDTO,4,123,0,6,2,45,1,23,1,20
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,InstructionDTO,4,88,0,6,2,31,1,18,1,15
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,ProfileDTO,47,0,0,0,20,0,12,0,12,0
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,AdminUserDTO,83,107,0,0,27,31,14,15,14,15
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,RecipeBookDTO,14,111,0,6,6,41,4,23,4,20
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,FavoriteRelationDTO,8,60,0,6,4,18,2,11,2,8
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,RecipeBookRelationDTO,0,68,0,6,0,22,0,13,0,10
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,UserDTO,92,18,14,0,23,8,19,3,12,3
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,IngredientDTO,0,86,0,6,0,30,0,17,0,14
Szakdolgozat,com.szakdologzat.repiceapp.service.dto,PasswordChangeDTO,26,0,0,0,12,0,6,0,6,0
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,RatingMapperImpl,630,99,99,5,165,28,63,6,11,6
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,RecipeBookMapperImpl,358,96,50,4,99,27,34,5,7,5
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,InstructionMapperImpl,613,123,99,7,166,28,65,6,12,6
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,RecipeBookRelationMapperImpl,744,49,112,4,197,15,73,5,15,5
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,RecipeBookMapper,0,3,0,0,0,1,0,1,0,1
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,RecipeMapperImpl,505,206,74,8,137,45,50,7,9,7
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,IngredientMapperImpl,667,72,110,4,177,21,69,5,12,5
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,FavoriteRelationMapperImpl,631,49,92,4,165,15,61,5,13,5
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,RecipeMapper,160,40,12,6,41,15,13,5,4,5
Szakdolgozat,com.szakdologzat.repiceapp.service.mapper,UserMapper,95,135,12,6,26,38,11,12,5,9
Szakdolgozat,com.szakdologzat.repiceapp.service,InvalidPasswordException,4,0,0,0,2,0,1,0,1,0
Szakdolgozat,com.szakdologzat.repiceapp.service,IngredientService,144,0,0,0,29,0,10,0,10,0
Szakdolgozat,com.szakdologzat.repiceapp.service,UsernameAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
Szakdolgozat,com.szakdologzat.repiceapp.service,UserService,508,4,22,0,143,1,31,1,20,1
Szakdolgozat,com.szakdologzat.repiceapp.service,RecipeBookRelationService,36,251,1,3,8,60,5,13,4,12
